,代码,简称,今日涨跌幅（%）,今日换手率（%）,主力资金流量（万元）
0,300308,中际旭创,-3.57,2.85,-164557.52
1,601138,工业富联,-2.83,0.85,-139999.84
2,300394,天孚通信,-4.93,4.88,-111842.03
3,600487,亨通光电,-5.6,6.55,-77973.5
4,300476,胜宏科技,-3.0,3.84,-74359.15
5,300502,新易盛,-4.48,4.99,-72440.73
6,600584,长电科技,-4.34,6.01,-51201.05
7,600183,生益科技,-4.81,2.35,-43787.75
8,2281,光迅科技,-2.22,8.28,-41756.49
9,688313,仕佳光子,-6.28,7.33,-34723.0
10,300757,罗博特科,-6.56,7.83,-31909.0
11,600703,三安光电,-3.48,5.27,-31454.46
12,2436,兴森科技,-5.34,9.82,-31226.98
13,600498,烽火通信,-1.44,9.76,-29310.42
14,300548,长芯博创,-5.4,8.28,-26290.9
15,603083,剑桥科技,-3.06,11.23,-24908.55
16,2156,通富微电,-2.46,5.66,-24021.66
17,601231,环旭电子,-2.74,2.78,-23672.5
18,21,深科技,-3.83,8.1,-23231.73
19,300456,赛微电子,-4.78,7.19,-22281.32
20,600105,永鼎股份,-1.45,5.79,-22049.45
21,2429,兆驰股份,-8.4,5.69,-22010.93
22,2185,华天科技,-1.78,5.41,-21549.05
23,300620,光库科技,-6.82,6.91,-21546.06
24,988,华工科技,3.33,13.5,-19916.06
25,688498,源杰科技,-5.24,4.42,-17663.47
26,301486,致尚科技,-2.89,8.7,-16816.32
27,688205,德科立,-5.96,6.82,-16205.42
28,603228,景旺电子,-6.13,3.75,-16157.98
29,2179,中航光电,-2.47,1.38,-15983.25
30,601869,长飞光纤,-0.61,3.37,-15285.75
31,2600,领益智造,-2.21,1.38,-15154.82
32,300570,太辰光,-5.42,10.38,-14691.29
33,2049,紫光国微,-1.78,2.09,-13809.35
34,300814,中富电路,-5.83,6.55,-13470.22
35,688048,长光华芯,-0.32,6.66,-13255.4
36,603738,泰晶科技,-5.57,11.68,-13229.68
37,688183,生益电子,-3.05,1.47,-12161.47
38,301205,联特科技,6.78,29.09,-11560.12
39,688025,杰普特,-4.32,6.79,-10996.14
40,301183,东田微,-6.29,8.22,-10917.99
41,300102,乾照光电,-1.39,5.99,-10778.71
42,603920,世运电路,-3.81,4.46,-9905.43
