序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,300561,*ST汇科,13.86,6.04,0.79,143089.0,192724078.93,11.32,14.22,12.74,12.93,13.07,1.41,5.94,2245.25,7.58
2,300205,*ST天喻,6.22,5.25,0.31,88801.0,54429887.15,5.75,6.25,5.91,5.95,5.91,1.3,2.06,-16.12,2.72
3,600136,ST明诚,2.03,5.18,0.1,76167.0,15461901.0,0.0,2.03,2.03,2.03,1.93,0.19,0.39,-482.47,17.42
4,000608,*ST阳光,4.34,5.08,0.21,344904.0,148149198.52,5.08,4.34,4.13,4.15,4.13,1.29,4.63,-14.92,1.57
5,000669,ST金鸿,5.2,5.05,0.25,392921.0,198273864.2,7.88,5.2,4.81,5.0,4.95,0.8,5.77,-57.4,-318.72
6,002569,*ST步森,13.97,5.04,0.67,22189.0,30087187.0,6.77,13.97,13.07,13.32,13.3,0.55,1.59,-266.36,69.73
7,001270,*ST铖昌,106.22,5.0,5.06,90392.0,939591265.2,6.29,106.22,99.86,103.35,101.16,1.47,4.44,181.72,14.87
8,603843,*ST正平,9.28,4.98,0.44,285189.0,257932424.0,6.9,9.28,8.67,8.67,8.84,0.8,4.08,-48.81,23.21
9,000908,ST景峰,7.4,4.96,0.35,510479.0,362967647.92,9.93,7.4,6.7,7.0,7.05,2.12,5.8,-219.13,174.55
10,600107,ST尔雅,6.36,4.95,0.3,51891.0,32692632.0,3.96,6.36,6.12,6.14,6.06,0.83,1.44,-48.12,5.02
11,002199,*ST东晶,8.06,4.95,0.38,54154.0,42968657.59,4.95,8.06,7.68,7.95,7.68,2.07,2.22,-37.61,10.29
12,603429,*ST集友,8.91,4.95,0.42,125429.0,111354180.0,5.89,8.91,8.41,8.91,8.49,1.21,2.39,-256.7,3.69
13,002620,ST瑞和,8.28,4.94,0.39,16817.0,13924683.0,0.0,8.28,8.28,8.28,7.89,0.14,0.53,-41.66,-141.87
14,002808,*ST恒久,4.5,4.9,0.21,19795.0,8793209.0,5.36,4.5,4.27,4.3,4.29,0.45,1.2,-36.8,4.64
15,002058,*ST威尔,21.84,4.85,1.01,27667.0,60214184.0,3.65,21.87,21.11,21.5,20.83,2.23,1.93,12.03,78.3
16,002630,ST华西,2.24,4.67,0.1,1079238.0,237364219.21,6.54,2.25,2.11,2.14,2.14,2.32,10.48,53.14,10.96
17,002214,*ST大立,19.15,4.59,0.84,73084.0,138930448.62,4.75,19.23,18.36,18.99,18.31,2.27,1.53,-69.71,8.12
18,000909,ST数源,5.93,4.59,0.26,83210.0,49213384.7,3.7,5.95,5.74,5.9,5.67,2.88,1.9,-28.86,2.61
19,002693,*ST双成,8.22,3.92,0.31,168608.0,138450617.04,5.18,8.31,7.9,7.9,7.91,1.17,4.1,-1013.11,8.72
20,002528,ST英飞拓,3.65,3.69,0.13,444031.0,160662798.8,5.11,3.7,3.52,3.7,3.52,1.93,4.23,-44.26,43.24
21,002512,ST达华,4.12,3.52,0.14,1291998.0,534165002.1,4.52,4.18,4.0,4.06,3.98,1.53,11.8,-33.52,11.8
22,002789,*ST建艺,12.76,3.4,0.42,48285.0,60505559.0,5.43,12.79,12.12,12.42,12.34,1.15,3.09,-4.46,-1.77
23,603822,ST嘉澳,94.05,3.13,2.85,11119.0,103604085.0,4.78,95.46,91.1,93.0,91.2,0.94,1.45,-213.64,16.17
24,600753,*ST海钦,12.17,2.87,0.34,34129.0,41170708.0,4.82,12.28,11.71,11.71,11.83,0.89,1.48,81.87,126.04
25,603007,*ST花王,6.88,2.84,0.19,237481.0,162230415.0,4.78,6.95,6.63,6.66,6.69,1.17,3.42,-26.69,21.09
26,603828,ST柯利达,6.46,2.7,0.17,66083.0,42499814.0,4.45,6.6,6.32,6.47,6.29,0.73,1.11,-29.21,5.98
27,300301,ST长方,3.59,2.57,0.09,219842.0,78379625.0,6.29,3.67,3.45,3.47,3.5,0.93,2.78,-25.76,18.11
28,600358,ST联合,6.11,2.35,0.14,146849.0,89915713.0,4.02,6.25,6.01,6.15,5.97,1.84,2.91,-82.25,56.97
29,600777,*ST新潮,5.69,2.34,0.13,577279.0,330066643.0,2.52,5.8,5.66,5.66,5.56,0.79,0.91,21.81,1.64
30,002211,ST宏达,3.73,2.19,0.08,105822.0,39082241.2,4.11,3.76,3.61,3.63,3.65,1.41,2.45,-113.56,118.89
31,300152,ST新动力,2.47,2.07,0.05,442895.0,109961996.5,6.2,2.56,2.41,2.42,2.42,1.52,6.22,-182.59,7.48
32,603389,*ST亚振,41.8,1.95,0.8,13997.0,58464071.0,6.71,42.98,40.23,41.26,41.0,1.06,0.53,-262.23,46.95
33,000595,*ST宝实,6.44,1.9,0.12,230525.0,149071179.8,3.64,6.6,6.37,6.42,6.32,1.79,2.02,46.67,14.41
34,002656,*ST摩登,3.01,1.69,0.05,145922.0,43970979.0,4.05,3.07,2.95,2.97,2.96,0.9,2.16,-46.49,5.05
