序号,股票代码,股票名称,调入日期,调出日期,调入时评级名称,调出原因,累计涨跌幅
1,600673,东阳光,2025-09-19,2026-03-19,买入,到期调出,38.71
2,300738,奥飞数据,2025-05-06,2025-11-05,买入,到期调出,-22.26
3,300638,广和通,2024-06-11,2024-12-11,买入,到期调出,18.97
4,300502,新易盛,2024-04-29,2024-10-28,买入,到期调出,56.06
5,600941,中国移动,2024-04-26,2025-02-10,买入,到期调出,10.96
6,002837,英维克,2024-04-23,2025-02-17,买入,到期调出,83.41
7,300308,中际旭创,2024-02-19,2024-10-28,买入,到期调出,37.85
8,688702,盛科通信,2023-12-28,2024-06-28,买入,到期调出,-20.28
9,688800,瑞可达,2023-12-14,2024-06-14,买入,到期调出,-23.23
10,000063,中兴通讯,2023-11-06,2024-05-06,买入,到期调出,6.21
11,300394,天孚通信,2023-11-02,2024-10-28,买入,到期调出,178.28
12,002139,拓邦股份,2023-11-01,2024-05-06,买入,到期调出,11.87
13,601728,中国电信,2023-08-14,2025-02-21,买入,到期调出,53.32
14,600050,中国联通,2023-08-14,2024-09-23,买入,到期调出,-14.38
15,600941,中国移动,2023-07-31,2024-04-23,买入,到期调出,14.16
16,001270,*ST铖昌,2022-07-20,2023-05-04,买入,到期调出,7.51
17,300762,上海瀚讯,2022-04-26,2023-02-24,买入,到期调出,61.0
18,603738,泰晶科技,2022-03-22,2023-05-04,买入,到期调出,-27.23
19,600845,宝信软件,2022-03-09,2023-04-26,买入,到期调出,43.18
20,603712,七一二,2021-08-26,2023-05-04,买入,到期调出,-23.39
21,601728,中国电信,2021-08-25,2023-05-04,增持,到期调出,48.61
22,300590,移为通信,2021-07-21,2023-05-04,买入,到期调出,-34.52
23,600845,宝信软件,2021-04-13,2022-02-21,买入,到期调出,28.42
24,300762,上海瀚讯,2021-04-12,2022-02-24,买入,到期调出,-9.67
25,300628,亿联网络,2021-01-11,2023-04-27,增持,到期调出,-7.74
26,002402,和而泰,2020-10-22,2023-05-04,买入,到期调出,-5.79
27,002139,拓邦股份,2020-08-27,2023-01-30,增持,到期调出,72.51
28,603236,移远通信,2020-08-24,2023-05-04,增持,到期调出,-36.95
29,603859,能科科技,2020-08-17,2021-02-22,买入,到期调出,-32.83
30,300590,移为通信,2020-08-17,2021-04-29,买入,到期调出,-26.82
31,300383,光环新网,2020-08-03,2021-10-21,买入,到期调出,-51.87
32,603887,城地香江,2020-07-14,2021-07-15,增持,到期调出,-58.69
33,300638,广和通,2020-07-09,2023-05-04,增持,到期调出,-4.79
