序号,分析师名称,分析师单位,年度指数,2026年收益率,3个月收益率,6个月收益率,12个月收益率,成分股个数,2026最新个股评级-股票名称,2026最新个股评级-股票代码,分析师ID,行业代码,行业,更新日期,年度
1,张慧,申万宏源,2215.44,90.42,91.92,102.51,126.14,1,招商轮船,601872,11000446238,,,2026-03-27,2026
2,郑浩洋,中信证券,1297.57,58.86,56.17,29.76,29.76,1,荣昌生物,688331,11000507335,,,2026-03-27,2026
3,滕明滔,中航证券,2324.99,52.85,35.2,186.56,132.5,0,臻镭科技,688270,11000445536,,,2026-03-27,2026
4,韩东,广发证券,2272.95,52.56,53.18,49.05,27.84,0,东阳光,600673,11000279133,730000,通信,2026-03-27,2026
5,周儒飞,方正证券,1755.54,52.12,52.41,57.33,80.26,3,中远海控,601919,11000412839,420000,交通运输,2026-03-27,2026
6,刘强,太平洋,11234.91,48.1,44.3,57.95,106.1,2,璞泰来,603659,11000200926,630000,电力设备,2026-03-27,2026
7,黄腾飞,西南证券,2448.43,43.09,43.98,90.69,120.18,0,西部矿业,601168,11000444542,240000,有色金属,2026-03-27,2026
8,王卓亚,中航证券,1818.3,42.91,40.63,52.91,81.83,4,四方股份,601126,11000454931,,,2026-03-27,2026
9,方晨,上海证券,1734.04,41.7,38.5,40.64,75.99,2,联瑞新材,688300,11000327334,610000,建筑材料,2026-03-27,2026
10,刘晓宁,华源证券,1993.02,41.07,41.07,41.07,56.27,2,菲利华,300395,11000176582,410000,公用事业,2026-03-27,2026
11,张力月,广发证券,1312.77,41.05,38.23,40.88,40.88,2,宇通客车,600066,11000395433,280000,汽车,2026-03-27,2026
12,陈子坤,广发证券,9044.74,40.61,36.64,37.6,116.46,1,南网科技,688248,11000196752,630000,电力设备,2026-03-27,2026
13,刘宇飞,中信证券,2417.37,39.84,29.21,141.74,141.74,1,大中矿业,001203,11000487867,,,2026-03-27,2026
14,华鹏伟,中信证券,3272.4,39.76,35.74,44.55,75.97,1,奥特维,688516,11000254132,630000,电力设备,2026-03-27,2026
15,张建业,国海证券,2999.2,39.72,50.36,88.39,199.92,1,东方钽业,000962,11000348231,,,2026-03-27,2026
16,丁士涛,国联民生,3906.95,35.53,36.19,70.42,143.74,1,盐湖股份,000792,11000178766,240000,有色金属,2026-03-27,2026
17,刘淞,太平洋,2009.85,34.7,29.34,100.98,100.98,1,思源电气,002028,11000442431,,,2026-03-27,2026
18,蒋颖,开源证券,2771.66,34.53,33.86,43.73,162.79,13,光环新网,300383,11000300437,730000,通信,2026-03-27,2026
19,马佳伟,民生证券,2183.41,33.97,31.9,48.6,96.82,6,中际旭创,300308,11000384735,,,2026-03-27,2026
